id,en,yo_has_native,ig_has_native,pg_has_native,yo_missing,ig_missing,pg_missing
1,hello,1,0,0,,MISSING,MISSING
2,good morning,1,0,0,,MISSING,MISSING
3,good afternoon,1,0,0,,MISSING,MISSING
4,good evening,1,0,0,,MISSING,MISSING
5,how are you?,1,0,0,,MISSING,MISSING
6,thank you,1,0,0,,MISSING,MISSING
7,please,1,0,0,,MISSING,MISSING
8,sorry,1,0,0,,MISSING,MISSING
9,family,1,0,0,,MISSING,MISSING
10,mother,1,0,0,,MISSING,MISSING
11,father,1,0,0,,MISSING,MISSING
12,child,1,0,0,,MISSING,MISSING
13,food,1,1,0,,,MISSING
14,water,1,0,0,,MISSING,MISSING
15,rice,1,0,0,,MISSING,MISSING
16,pepper,1,0,0,,MISSING,MISSING
17,school,1,0,0,,MISSING,MISSING
18,teacher,1,0,0,,MISSING,MISSING
19,book,1,0,0,,MISSING,MISSING
20,pen,1,0,0,,MISSING,MISSING
21,one,1,0,0,,MISSING,MISSING
22,two,1,0,0,,MISSING,MISSING
23,three,1,0,0,,MISSING,MISSING
24,four,1,0,0,,MISSING,MISSING
25,red,1,0,0,,MISSING,MISSING
26,blue,1,0,0,,MISSING,MISSING
27,come,1,0,0,,MISSING,MISSING
28,go,1,0,0,,MISSING,MISSING
29,stop,1,0,0,,MISSING,MISSING
30,where is it?,1,0,0,,MISSING,MISSING
31,i am tired,1,0,0,,MISSING,MISSING
32,i am fine,1,0,0,,MISSING,MISSING
33,word_33,1,0,0,,MISSING,MISSING
34,word_34,1,0,0,,MISSING,MISSING
35,word_35,1,0,0,,MISSING,MISSING
36,word_36,1,0,0,,MISSING,MISSING
37,word_37,1,0,0,,MISSING,MISSING
38,word_38,1,0,0,,MISSING,MISSING
39,word_39,1,0,0,,MISSING,MISSING
40,word_40,1,0,0,,MISSING,MISSING
41,word_41,1,0,0,,MISSING,MISSING
42,word_42,1,0,0,,MISSING,MISSING
43,word_43,1,0,0,,MISSING,MISSING
44,word_44,1,0,0,,MISSING,MISSING
45,word_45,1,0,0,,MISSING,MISSING
46,word_46,1,0,0,,MISSING,MISSING
47,word_47,1,0,0,,MISSING,MISSING
48,word_48,1,0,0,,MISSING,MISSING
49,word_49,1,0,0,,MISSING,MISSING
50,word_50,1,0,0,,MISSING,MISSING
51,word_51,1,0,0,,MISSING,MISSING
52,word_52,1,0,0,,MISSING,MISSING
53,word_53,1,0,0,,MISSING,MISSING
54,word_54,1,0,0,,MISSING,MISSING
55,word_55,1,0,0,,MISSING,MISSING
56,word_56,1,0,0,,MISSING,MISSING
57,word_57,1,0,0,,MISSING,MISSING
58,word_58,1,0,0,,MISSING,MISSING
59,word_59,1,0,0,,MISSING,MISSING
60,word_60,1,0,0,,MISSING,MISSING
61,word_61,1,0,0,,MISSING,MISSING
62,word_62,1,0,0,,MISSING,MISSING
63,word_63,1,0,0,,MISSING,MISSING
64,word_64,1,0,0,,MISSING,MISSING
65,word_65,1,0,0,,MISSING,MISSING
66,word_66,1,0,0,,MISSING,MISSING
67,word_67,1,0,0,,MISSING,MISSING
68,word_68,1,0,0,,MISSING,MISSING
69,word_69,1,0,0,,MISSING,MISSING
70,word_70,1,0,0,,MISSING,MISSING
71,word_71,1,0,0,,MISSING,MISSING
72,word_72,1,0,0,,MISSING,MISSING
73,word_73,1,0,0,,MISSING,MISSING
74,word_74,1,0,0,,MISSING,MISSING
75,word_75,1,0,0,,MISSING,MISSING
76,word_76,1,0,0,,MISSING,MISSING
77,word_77,1,0,0,,MISSING,MISSING
78,word_78,1,0,0,,MISSING,MISSING
79,word_79,1,0,0,,MISSING,MISSING
80,word_80,1,0,0,,MISSING,MISSING
81,word_81,1,0,0,,MISSING,MISSING
82,word_82,1,0,0,,MISSING,MISSING
