id,en,yo_has_native,ig_has_native,pg_has_native,yo_missing,ig_missing,pg_missing
1,hello,1,1,1,,,
2,good morning,1,1,1,,,
3,good afternoon,1,1,1,,,
4,good evening,1,1,1,,,
5,how are you?,1,1,1,,,
6,thank you,1,1,1,,,
7,please,1,1,1,,,
8,sorry,1,1,1,,,
9,family,1,1,1,,,
10,mother,1,1,1,,,
11,father,1,1,1,,,
12,child,1,1,1,,,
13,food,1,1,1,,,
14,water,1,1,1,,,
15,rice,1,1,1,,,
16,pepper,1,1,1,,,
17,school,1,1,1,,,
18,teacher,1,1,1,,,
19,book,1,1,1,,,
20,pen,1,1,1,,,
21,one,1,1,1,,,
22,two,1,1,1,,,
23,three,1,1,1,,,
24,four,1,1,1,,,
25,red,1,1,1,,,
26,blue,1,1,1,,,
27,come,1,1,1,,,
28,go,1,1,1,,,
29,stop,1,1,1,,,
30,where is it?,1,1,1,,,
31,i am tired,1,1,1,,,
32,i am fine,1,1,1,,,
33,age,1,1,1,,,
34,ago,1,1,1,,,
35,agree,1,1,1,,,
36,air,1,1,1,,,
37,airport,1,1,1,,,
38,alive,1,1,1,,,
39,all,1,1,1,,,
40,allow,1,1,1,,,
41,almost,1,1,1,,,
42,alone,1,1,1,,,
43,along,1,1,1,,,
44,already,1,1,1,,,
45,also,1,1,1,,,
46,although,1,1,1,,,
47,always,1,1,1,,,
48,amaze,1,1,1,,,
49,ambition,1,1,1,,,
50,among,1,1,1,,,
51,amount,1,1,1,,,
52,amuse,1,1,1,,,
53,ancestor,1,1,1,,,
54,ancient,1,1,1,,,
55,and,1,1,1,,,
56,anger,1,1,1,,,
57,angry,1,1,1,,,
58,animal,1,1,1,,,
59,announce,1,1,1,,,
60,annoy,1,1,1,,,
61,another,1,1,1,,,
62,answer,1,1,1,,,
63,ant,1,1,1,,,
64,anxious,1,1,1,,,
65,any,1,1,1,,,
66,apart,1,1,1,,,
67,apology,1,1,1,,,
68,appear,1,1,1,,,
69,apple,1,1,1,,,
70,apply,1,1,1,,,
71,appoint,1,1,1,,,
72,approve,1,1,1,,,
73,arch,1,1,1,,,
74,area,1,1,1,,,
75,argue,1,1,1,,,
76,arm,1,1,1,,,
77,army,1,1,1,,,
78,around,1,1,1,,,
79,arrange,1,1,1,,,
80,arrest,1,1,1,,,
81,arrive,1,1,1,,,
82,arrow,1,1,1,,,
83,art,1,1,1,,,
84,as,1,1,1,,,
85,ash,1,1,1,,,
86,ask,1,1,1,,,
87,asleep,1,1,1,,,
88,assist,1,1,1,,,
89,at,1,1,1,,,
90,attack,1,1,1,,,
91,attempt,1,1,1,,,
92,attend,1,1,1,,,
93,attract,1,1,1,,,
94,aunt,1,1,1,,,
95,author,1,1,1,,,
96,autumn,1,1,1,,,
97,avoid,1,1,1,,,
98,awake,1,1,1,,,
99,away,1,1,1,,,
100,awful,1,1,1,,,
101,baby,1,1,1,,,
102,back,1,1,1,,,
103,bad,1,1,1,,,
